reference	verse	book
1 Samuel 11:1	(title) Nahash attacks Jabesh.  A man named Nahash was the king of the Ammonites.  One day Nahash and Nahash's army surrounded the city named Jabesh [which was in Gilead]. The leaders of Jabesh said to Nahash, ["You(Nahash) (imp) make a treaty with us(people)]. Then we(people) will serve you(Nahash)."	1_Samuel
1 Samuel 7:12	(title) The Israelites have peace.  Then Samuel chose a big stone. And Samuel put that stone between Mizpah and Shen. Then Samuel named that stone Ebenezer.  And Samuel said, ["Yahweh helped us(Israelites)."] Ebenezer (footnote) means "stone [that helps]".	1_Samuel
2 Samuel 2:4	Then the other men [who were living in Judah] came to Hebron. Those men chose/anointed David [to become the king of Judah].Then those men told David [that men [that were from  Jabesh-Gilead] buried Saul’s body].	2_Samuel
Genesis 45:19	You(brother's) (imp) take wagons [so that your(brother's) children, your(brother's) wives, and your(brother's) father could return to Egypt with you(brothers)].	Genesis
1 Samuel 1:16	You(Eli) (imp) do not think [that I(Hannah) am an evil woman]. I(Hannah) prayed to Yahweh [because I(Hannah) am extremely sad].”	1_Samuel
1 Samuel 7:15	Samuel was the Israelites’ leader [while Samuel was living].	1_Samuel
Joshua 20:1	(title) The Israelites choose certain cities [in order to protect people [who accidentally kill a person]]. Then Yahweh spoke to Joshua.	Joshua
2 Samuel 14:23	Then Joab went to Geshur. And Joab brought Absalom to Jerusalem.	2_Samuel
Genesis 10:30	These people lived in the eastern hills [that were between Mesha and Sephar].	Genesis
Joshua 9:7	But the Israelites said to those Hivites, ["Perhaps you(men) live near us(Israelites)]. [If you(men) live near us(Israelites)] we(Israelites) will not make a treaty with you(men)."	Joshua
1 Samuel 14:40	So Saul said to all of the Israelites, ["You(Israelites) (imp) stand at that place]. And I(Saul) and my(Saul's) son named Jonathan will stand at this place." The people said, ["We(people) will obey you(Saul)]."	1_Samuel
Joshua 19:40	(title) Yahweh gives land to the tribe named Dan. [After the Israelites used the lots again] Yahweh gave the seventh region to the tribe named Dan. Each group of families [that were in that tribe] received land.	Joshua
Joshua 21:4	The Israelites used lots.  And the lots chose the descendants of Kohath. The Israelites gave 13 towns to the people [who were in the tribe named Levi] [and who were descendants of Aaron]. Those towns were in the regions [that the tribes named Judah, Simeon, and Benjamin owned].	Joshua
Mark 10:21	(paragraph) Then Jesus looked at that man. And Jesus loved-B that man. Jesus said to that man, ["You(man) still need [to do 1 thing _emphasized] [(implicit-situational) in-order-to live forever with God]] . You(man) (imp) go. And you(man) (imp) sell all of the things [that you(man) have]. And you(man) (imp) give the money _implicit to poor people. Then-D you(man) will have treasure in heaven. Then-A you(man) (imp) come. And you(man) (imp) follow-B me(Jesus)."	Mark
1 Samuel 30:4	So David and those men cried loudly. David and those men cried for many hours [until David and those men were very tired].	1_Samuel
Mark 14:1	(title) A woman puts oil on Jesus in Bethany. (paragraph) There were 2 days until the Passover and the Feast-of-Unleavened-Bread. And the chief priests and the scribes were planning/plotting to take-away/arrest Jesus secretly [in-order-to kill Jesus].	Mark
Genesis 26:32	That day the servants of Isaac told Isaac about the well [that the servants dug].  The servants said, ["We(servants) found water in that well."]	Genesis
Genesis 32:24	So Jacob was alone in the camp. Then a man came to the camp.  This man fought Jacob [until the sun rose].	Genesis
