reference	verse	book
Daniel 12:1	Then Michael will come. Michael is the great angel [who protects your(Daniel's) people]. Your(Daniel's) people will have great troubles for some time. That time will be the worst time [since there were nations]. Then God will save your(Daniel's) people. [If God writes a person's name in God's book] then God will save a person.	Daniel
Joshua 10:17	But one of Joshua’s soldiers found those kings in that cave. So a person told Joshua [that the kings were hiding in that cave].	Joshua
Daniel 11:19	Then the king of the north region will return to the strong cities [that are in the king's land]. Then that king will lose a battle. And people will not see that king again.	Daniel
1 Samuel 4:9	Philistines, you(Philistines) (imp) be brave! And you(Philistines) (imp) fight hard! Previously the Israelites were our(Philistines’) slaves. But [if we(Philistines) do not fight hard] we(Philistines) will become the Israelites’ slaves."	1_Samuel
Genesis 48:22	I(Jacob) gave you(Joseph) and your(Joseph's) brothers land.  But I(Jacob) am giving you(Joseph) more land. I(Jacob) am giving you(Joseph) the hill [that I(Jacob) took from the Amorites]. I(Jacob) fought the Amorites on that hill with my(Jacob's) sword and bow.  And I(Jacob) take-away that hill from the Amorites.	Genesis
Mark 11:14	Then Jesus said to that tree-fig, ["I(Jesus) pray-hope [people will never eat a fruit [that grows _implicitNecessary on you(tree-fig)] again]"]. And Jesus's followers/disciples were listening [(implicit-situational) when Jesus said that thing].	Mark
Acts 21:16	Some [people who believe in Jesus] [and who were from Caesarea] traveled with us(disciples). Those people led us(disciples) to a house [which belongs to a man named Mnason] [so that we(disciples) could stay at that place]. Mnason was from the island named Cyprus. And Mnason was one of the first people [who believed in Jesus].	Acts
Genesis 29:13	[After Laban heard [that the son of Laban's sister named Jacob was at the well]] Laban ran to Jacob. Then Laban hug Jacob. and Laban kissed Jacob. Then Laban brought Jacob to Laban's house. Then Jacob told Laban about Jacob's family and about all the things [that Jacob's family had done].	Genesis
Matthew 26:75	Then Peter remembered-D the words [that Jesus previously said to Peter _implicit]. Jesus said, ["[Before a male chicken shouts,] you(Peter) will say [you(Peter) do not know me(Jesus)] 3 times"]. Peter left the yard/courtyard _implicit. And Peter much cried/wee	Matthew
Mark 6:29	[After John's disciples heard [(implicit-situational) John was dead],] John's disciples came. Those followers/disciples took John's body. And those followers/disciples put John's body in a hole/cave [where people put dead bodies].	Mark
1 Samuel 20:36	Jonathan said to the boy, ["You(boy) (imp) run]. And you(boy) (imp) find the arrows [that I(Jonathan) will shoot]." [While the boy was running] Jonathan shot an arrow to a place [that was in front of that boy].	1_Samuel
Acts 16:23	[After the people severely beat Paul and Silas,] the people dragged Paul and Silas in prison. And the Roman officials commanded [the chief guard of the prison to guard carefully Paul and Silas].	Acts
2 Samuel 22:38	I(David) chased my(David's) enemies. And I(David) completely destroyed those enemies.    I(David) did not stop chasing my(David’s) enemies[until I(David) destroyed those enemies].	2_Samuel
Matthew 9:7	Then the man get-up. (implicit-subaction) The man pick-up that man's bed/mat. And the man went to that man's house.	Matthew
Joshua 18:7	But Yahweh will not give land to the tribe named Levi. All of the priests are in that tribe. And the priests will serve Yahweh. The tribe named Gad, the tribe named Reuben, and half of the tribe named Manasseh already received the land [that Yahweh gave to those tribes]. The land [that those tribes own] is on the eastern side of the Jordan River. Moses [who served Yahweh] gave land to those tribes.”	Joshua
1 Samuel 12:9	But your(Israelites’) ancestors stopped obeying Yahweh [who was your(Israelites’) ancestors’ God]. So Yahweh allowed [Sisera to defeat your(Israelites’) ancestors]. Sisera was the leader of the army of Hazor. Then the Philistines and the Moabites fought your(Israelites’) ancestors.  And Yahweh allowed [the Philistines and the king of Moab to defeat your(Israelites’) ancestors].	1_Samuel
Genesis 27:15	Then Rebekah told Jacob [to put-on the best clothes of the older son of Rebekah named Esau].	Genesis
1 Samuel 6:21	Then those people sent messengers to the people [who were living in Kiriath-Jearim]. Those messengers said, ["The Philistines brought Yahweh’s Ark-of-the-Covenant to us(people)]. You(people) (imp) come to this place.  And you(people) (imp) take the Ark-of-the-Covenant to your(people's) town."	1_Samuel
Joshua 21:29	And the tribe named Issachar also gave the towns named Jarmuth and En-Gannim to the families [that were Gershon’s descendants]. And the tribe named Issachar also gave all of the fields [that were near those 4 towns] to those families.	Joshua
2 Samuel 22:5	The waves of death surrounded me(David). The rivers [that destroy things] covered me(David).	2_Samuel
Matthew 22:32	[When (implicit-background) Abraham, Isaac, and Jacob were dead], God _implicitNecessary said _implicitNecessary to Moses _implicit, ["I(God) am the God of Abraham, the God of Isaac, and the God of Jacob"]. God is not the God of dead people. Instead, God is the God of alive people." (footnote) You(people) (imp) see Exodus 3:6.	Matthew
Genesis 19:14	So Lot went to the 2 men [who promised [to marry Lot's 2 daughters]]. Lot said to these 2 men, ["You(men) (imp) leave this city quickly!] Yahweh will destroy this city tomorrow." But the 2 men thought [that Lot was telling a joke].  So the 2 men did not leave the city.	Genesis
Matthew 28:19	Therefore you(followers) (imp) go. And you(followers) (imp) cause [people _generic to become my(Jesus's) followers/disciples in all nations]. (literal) You(followers) (imp) dip into water those people in-H the name of the Father, the Son, and the Holy-Spirit. (dynamic) You(followers) (imp) dip into water those people [by using the authority of the Father, the Son, and the Holy-Spirit].	Matthew
Genesis 46:17	Asher had sons named Imnah, named Ishvah, named Ishvi, and named Beriah. and Asher had a daughter named Serah. Beriah had sons named Heber and named Malkiel.	Genesis
Nehemiah 11:11	Seraiah [who was a son of Hilkiah]. Hilkiah was a son of Meshullam. Meshullam was a son of Zadok.  Zadok was a son of Meraioth. Meraioth was a son of Ahitub. Seraiah was the leader of the people [who worked in the temple of God].	Nehemiah
Genesis 23:14	Then Ephron spoke to Abraham again.	Genesis
2 Samuel 12:19	But David saw [those servants whispering]. Then David knew [that the baby was dead]. So David asked those servants, ["Is the baby dead?"] Those servants answered, ["Yes]. The baby is dead."	2_Samuel
Joshua 4:10	So the priests [who were carrying the ark-of-the-covenant] continued standing in the middle of the river [until all of the people went across the Jordan River]. And the priests continued standing in the river [while the men gathered the stones]. Joshua and the people obeyed Yahweh [just-like Moses commanded Joshua]. The people quickly went across the river.	Joshua
Matthew 2:12	Then [because the wise men were warned by God _implicitActiveAgent in a dream [not to return to Herod],] those wise men returned to those wise men’s country on-D a different road.	Matthew
1 Samuel 8:7	Then Yahweh said to Samuel, ["You(Samuel) (imp) listen to these people]. And (implicit-info) you(Samuel) (imp) choose/appoint a king for these people. These people are not sinning against you(Samuel). These people are sinning against me(Yahweh). These people do not want [me(Yahweh) to be these people's king].	1_Samuel
1 Samuel 11:2	But Nahash said to those leaders, ["I(Nahash) will make a treaty with you(people)]. But first you(people) must allow [me(Nahash) to take out the right eye of each person [who lives in Jabesh]]. Then all of the people [who live in Israel] will be ashamed!"	1_Samuel
2 Samuel 22:6	The ropes of death were around me(David).  Traps of death were in front of me(David).	2_Samuel
