reference	verse	book
Matthew 26:19	So the followers/disciples did the things-B [that Jesus told [the followers/disciples to do]]. And those followers/disciples prepared the Passover of the meal _metonymy in that house _implicit.	Matthew
Genesis 37:2	The following story is about Jacob's family. [One day when Joseph was 17 years old] Joseph and Joseph's brothers were caring for Joseph's father's sheep. The brothers of Joseph were the sons of Bilhah and Zilpah. Bilhah and Zilpah were the wives of Joseph's father. -implicit Rachel [who had died] was the mother of Joseph.  But [While Joseph and Joseph's brothers were caring for the sheep] Joseph told Joseph's father named Jacob [that Joseph's brothers were acting badly].	Genesis
Matthew 13:57	_paragraph And those people were upset with Jesus. _paragraph Jesus said to those people, ["A prophet is honored-A by people _implicitActiveAgent]. But a prophet is not honored by the people [who are in that person/prophet's town and in that person/prophet's house]."	Matthew
Matthew 12:46	(title) Jesus talks about Jesus's mother and Jesus's brothers. _paragraph [While Jesus was still talking to the crowd,] Jesus's mother and Jesus's brothers were standing outside the house _implicitNecessary [that (implicit-situational) Jesus was in]. For Jesus's mother and Jesus's brothers wanted [to talk to Jesus].	Matthew
Genesis 7:13	On the day [that the weather started to be rain] Noah, the wife of Noah, the sons of Noah named Shem, Ham, and Japheth, and the wives of Noah's sons entered the boat.	Genesis
2 Samuel 8:3	David also defeated Hadadezer [who was the king of Zobah].  Hadadezer was Rehob’s son. Hadadezer was trying [to defeat the people [who were living near the Euphrates river]].  But David killed Hadadezer near the river.	2_Samuel
1 Samuel 9:14	(title) Saul meets Samuel.  So Saul and the servant went into the town. [After Saul entered the town] Saul saw Samuel. Samuel was walking to the place [that the people worship God at]. And Samuel was walking toward Saul.	1_Samuel
Daniel 2:32	The head of the statue was pure gold. The chest of the statue and the arms of the statue were silver. The stomach of the statue was bronze.	Daniel
2 John 1:10	So [if a person comes to you(people)] [and if that person says [that that person is teaching the things [that that person received from God]]], [and if that person is teaching things [that are different from the things [that Christ taught to us(people)]]] you(people) (imp) do not invite that person [to come into your(people's) house]. You(people) (imp) do not even greet that person [like you(people) greet other Christians].	2_John
Genesis 48:14	But Jacob put Jacob's right hand on Ephraim's head. Ephraim was younger than Manasseh. And Jacob put Jacob's left hand on Manasseh's head. Manasseh was Joseph's oldest son.	Genesis
1 Samuel 25:19	Then Abigail told Abigail's servants, ["You(servants) (imp) go to David]. And I(Abigail) will follow you(servants)." But Abigail did not tell Abigail's husband [that Abigail will go to David].	1_Samuel
2 Samuel 5:2	Previously Saul was our(people's) king. But you(David) were our(people's) leader [when we(people) fought our(people's) enemies]. Yahweh said to you(David), ["You(David) will take care of my(Yahweh's) people].  The Israelites are my(Yahweh's) people. And you(David) will become the Israelite's king.""	2_Samuel
1 Samuel 18:28	Then Saul knew/realized [that Yahweh was with David].  And Saul knew [that Saul's daughter named Michal loved David].	1_Samuel
Matthew 28:18	Then Jesus came to those followers/disciples. And Jesus said, ["All authority was given to me(Jesus) by the Father _implicitActiveAgent [so-B I(Jesus) rule all heaven of servants/angel _metonymy and of evil spirits _metonymy and the all the earth of people _metonymy]].	Matthew
2 Samuel 14:12	Then that woman said, ["My(woman's) king, I(woman) am your(David's) servant].  Please (imp) you(David) let [me(woman) talk to you(David)]." Then the king said, ["You(woman) may talk]."	2_Samuel
Matthew 8:1	(title) Jesus heals a man [who has a skin disease]. (paragraph) [When Jesus come-down from the mountain _frameInferable of the side _implicitType ,] a big crowd followed-A Jesus.	Matthew
