reference	verse	book
Matthew 14:22	(title) Jesus walks on the water of the lake. _paragraph Immediately [after (implicit-situational) the people ate that food,] Jesus made-B [Jesus's followers/disciples go into a boat [so that Jesus's followers/disciples would go to the other side of the lake _implicit [before Jesus went there]]]. The followers/disciples left [while Jesus was sending the crowd from that place].	Matthew
2 Samuel 11:14	The next morning David wrote a letter to Joab. And David told [Uriah to take that letter to Joab].	2_Samuel
Daniel 6:12	So the officials went to the king. The officials spoke to the king about the law [that the king had written the king's name on]. The officials said to the king, ["Do you(king) remember [that you(king) wrote your(king's) name on a new law]]? The law orders [every man to pray only to you(king) for 30 days]. No man may pray to a god or to another man. [If a man prays to a god or to another man] your(king's) servants must throw that man into the pit [that you(king) keep lions in]." The king answered the officials, ["Yes]. I(king) remember the law. All of the people [who live in Media and in Persia] must do all the things [that this law says]."	Daniel
Mark 4:2	Jesus taught-B the people many things [by telling-D parables]. And [while Jesus was teaching-B many things _implicit to the crowd,] Jesus told-D this story/parable .	Mark
Mark 11:22	(paragraph) Then Jesus said to those followers/disciples, ["(complex) You(followers) (imp) have faith in God]. ["(simple) You(followers) (imp) believe in God].	Mark
Nehemiah 11:32	Anathoth, Nob, Ananiah,	Nehemiah
Nehemiah 10:29	All of those joined the Israelite leaders.  And those people promised [to do all of the things [that were in the religious laws of God]]. God gave those religious laws to God’s servant named Moses. And those people promised to carefully obey all of the commands of Yahweh, the rules of Yahweh, and the things [that Yahweh told [Yahweh’s people to do]]. And those people asked God [to punish/curse those people] [if those people did not obey those things].	Nehemiah
Genesis 26:7	The wife of Isaac named Rebekah was very beautiful. and the men [that lived in Gerar] asked Isaac about Rebekah. Isaac said to those men, ["Rebekah is the sister of me(Isaac)"].  Isaac did not want [to tell those men [that Rebekah was the wife of Isaac]] [because Isaac thought [a man might kill Isaac [in order to marry Rebekah]]].	Genesis
Genesis 36:8	So Esau moved to the hills [that were in Edom]. Esau was also called Edom by people.	Genesis
2 Samuel 20:20	Joab answered, ["I(Joab) certainly do not want [to destroy this city]]!	2_Samuel
Genesis 42:6	At-that-time Joseph was the chief official in Egypt. Joseph was the official [who sold grain to people [who came to Egypt]]. So [after Joseph's brothers arrived in Egypt] the brothers went to Joseph. Then the brothers bowed to Joseph [in-order-to honor Joseph].	Genesis
2 Samuel 18:27	The guard[who was on the roof] said, ["I(guard) think [that the first man is Ahimaaz [who is Zadok’s son]]] ."The king said, ["Ahimaaz is a good man]. Ahimaaz will certainly tell good news to me(David)."	2_Samuel
2 Samuel 19:13	Then (imp) you(men) say to Amasa, ["You(Amasa) are my(David's) relative].  I(David) want [you(Amasa) to become the leader of my(David's) army]. [If you(Amasa) do not become the leader of my(David's) army] then I(David) want [God to punish me(David)].  You(Amasa) will be the leader of my(David's) army instead of Joab [until I(David) die].""	2_Samuel
1 Samuel 9:17	[When Samuel saw Saul], Yahweh spoke to Samuel. Yahweh said, ["That man is the man [that I(Yahweh) told you(Samuel) about yesterday]]. That man will rule my(Yahweh's) people."	1_Samuel
Daniel 4:27	Therefore I(Daniel) suggest [that you(king) do certain things]. You(king) (imp) stop doing things [that God hates]. You(king) (imp) start doing good things. You(king) (imp) do not do evil things. You(king) (imp) be kind to people [who suffer]. [If you(king) do these things] you(king) might live well for a long time."	Daniel
Matthew 26:4	And those chief _adj priests and those leaders/elders planned/plot [to take-away/arrest Jesus secretly [in order to kill Jesus]].	Matthew
Genesis 43:5	But [if you(Jacob) do not allow [Benjamin to go with us(brothers)]] we(brothers) will not go to Egypt. The official of that country told us(brothers) [that the official will not allow [us(brothers) to talk to the official] [if we(brothers) do not bring Benjamin to the official]]."	Genesis
Matthew 6:31	Therefore, you(people) (imp) do not worry. And you(people) (imp) do not say, ["What food will we(people) eat?] What drinks will we(people) drink?". And you(people) (imp) do not say, ["Which clothes will we(people) wear?"].	Matthew
1 Samuel 27:7	David lived in the Philistines’ land for 16 months.	1_Samuel
Genesis 26:12	–Title Isaac becomes rich.  Isaac planted seeds in that land. and that year Isaac harvested many crops. Thus Yahweh blessed Isaac much.	Genesis
Acts 21:4	At that place, we(disciples) met some people [who believe in Jesus]. And we(disciples) stayed in those people's [who believe in Jesus] homes for seven days. The Holy Spirit told those people [who believe in Jesus] to warn Paul [that Paul should not continue traveling to Jerusalem.]	Acts
1 Samuel 24:20	I(Saul) know [that you(David) will certainly become the king of Israel]. And I(Saul) know [that you(David) will cause [the people of Israel to become great]].	1_Samuel
1 Samuel 21:5	David said, ["My(David's) soldiers did not sex women today]. [Whenever my(David's) soldiers and I(David) travel] we(David) do not sex women.  So the soldiers’ bodies are definitely clean today."	1_Samuel
2 Samuel 5:21	The Philistines left the Philistines’ idols in that valley. So David and David’s soldiers carried those idols to another place.	2_Samuel
Daniel 6:27	God protects people. God does wonderful things in heaven. And God does wonderful things on earth. God has protected Daniel from the lions."	Daniel
Genesis 49:24	But Joseph shoots a bow skillfully.  God caused [Joseph's arms to be strong].  Jacob's God caused [Joseph to be powerful].  The shepherd [who cares for Israel] caused [Joseph to become strong].	Genesis
Matthew 23:31	(literal) Thus you(scribes) show/testify [that you(scribes) are the sons/descendants of the people [who killed the prophets]]. (dynamic) Thus your(scribes') actions show/testify [that you(scribes) are-U like the people [who killed the prophets]].	Matthew
Joshua 15:56	And the tribe named Judah owned the towns named Jezreel, Jokdeam, and Zanoah.	Joshua
Nehemiah 3:16	A man named Nehemiah [who was the son of Azbuk] ruled half of the region named Beth-Zur. Nehemiah repaired the next part of the wall. That part of the wall led to the place [that was near David’s tomb, the pool, and the house [that the great soldiers lived in]].	Nehemiah
1 Samuel 27:4	A person told Saul [that David moved/fled to Gath].  So Saul stopped searching for David.	1_Samuel
Joshua 4:24	Yahweh did these things [so that all of the people [who are living on the earth] would know [that Yahweh is powerful]]. And Yahweh did these things [so that you(people) would always respect your(Israelites') God named Yahweh]."”	Joshua
Matthew 5:6	People [who much want/desire [to do good/righteous things [just-like a person wants/desire food and drink]]] are blessed by God _implicitActiveAgent. (literal) For those people will become full [(implicit-situational) just-like a person [who is hungry] might become full [after that person eats food]]. (dynamic) For God will help [those people to become good/righteous] .	Matthew
Genesis 22:24	Nahor also had 4 other sons.  The mother of these 4 sons was the concubine of Nahor named Reumah. The names of these sons were Tebah, Gaham, Tahash, and Maacah.	Genesis
Matthew 1:22	_paragraph All of these things happened [so that the things [that the Lord said through the person [who told God's messages to people]] would become true]. (footnote) That person/prophet was Isaiah.	Matthew
1 Samuel 10:16	Saul answered, ["Samuel told us(Saul) [that a person found the donkeys]."] But Saul did not tell Saul's uncle about the other things [that Samuel said]. Saul did not tell Saul's uncle [that Saul will become the king].	1_Samuel
Esther 1:11	Then Xerxes ordered [these 7 men [that did not have testicles] to bring Queen Vashti to Xerxes]. Xerxes wanted [Vashti to wear Vashti's crown]. The queen was very beautiful. The king wanted [to show the beautiful queen to all the princes and to the other guests].	Esther
Mark 5:42	Immediately the girl stand-up-B. And the girl started walking around the room _implicit. (comment-begin) The girl was 12 years old. (comment-end) And immediately the people were extremely surprised/amazed.	Mark
Genesis 45:16	[After the king of Egypt and the king's officers heard [that Joseph's brothers came to Egypt]] the king and the officials were very happy.	Genesis
Esther 1:16	Memucan said to the king and the other wise men, ["Queen Vashti acted badly to you(Xerxes)]. Queen Vashti also acted badly to the rulers and to all the people [that live in the kingdom].	Esther
1 Samuel 2:11	Then Elkanah returned to Ramah. But the boy continued serving Yahweh with the priest named Eli.	1_Samuel
Daniel 11:5	Then the king of the south region will become strong. But one of the officers of that king will become stronger than that king. That officer will have a powerful kingdom.	Daniel
Mark 1:45	Instead, the man went from that place. And that man started telling-C very many people _implicit about the thing [that happened]. (literal) So the news spread. (dynamic) So many people heard the news. Because of the thing [that that man did], Jesus was not able-B [to enter a town publicly]. For people (implicit-situational) surrounded Jesus [because those people wanted [Jesus to cause [those people to become healthy]]]. So Jesus stayed outside towns _implicit in places [that Jesus was able [to be alone] at]. But people still _implicit came to Jesus from every place.	Mark
Genesis 36:14	Esau's third wife was a woman named Oholibamah.  Oholibamah was the daughter of Anah. Anah was the son of Zibeon. Oholibamah birthed Jeush, Jalam, and Korah.	Genesis
Joshua 15:36	And the tribe named Judah owned the towns named Shaaraim, Adithaim and Gederah. ( People called Gederah Gederothaim. ) Therefore the tribe named Judah owned 14 towns [that were in that region].  And the tribe named Judah also owned the fields [that were near those towns].	Joshua
2 Samuel 22:39	I(David) destroyed those enemies completely. Those enemies are not able [to stand up]. Those enemies fell down under my(David's) feet.	2_Samuel
